[description:"Use the Forecast analysis learned in class on real stocks" entry:"1615179802" modified:"1619163671" priority:"L" project:"Python.Stock_Predictions" status:"pending" tags:"Personal" uuid:"b123dbc1-3e25-45c6-b3f3-a42d6ec8d5de"]
[annotation_1615199442:"Create a VOLUME measure" description:"STOCK BOT" entry:"1615199426" modified:"1619163590" priority:"L" project:"Python.Stock_Bot" status:"pending" tags:"Personal" uuid:"8435234a-88f9-481e-aba4-29a98eca020c"]
[description:"Create a script that will go to a practice Python file" entry:"1615364381" modified:"1619163791" priority:"L" project:"Bash_Scripting" status:"pending" tags:"Personal" uuid:"a66273c7-53cd-4a4a-be29-645e18115b12"]
[description:"Clean Yer Room" due:"1616382000" entry:"1615528809" mask:"+++++++------------" modified:"1627103165" project:"Cleaning" recur:"weekly" status:"recurring" tags:"Daily" uuid:"0432e7a3-c40f-4039-8994-cda313f35598"]
[description:"Clean Your Bathroom" due:"1616382000" entry:"1615528824" mask:"+++++++------------" modified:"1627103165" project:"Cleaning" recur:"weekly" status:"recurring" tags:"Daily" uuid:"8fc135fb-6cd3-4f0a-9236-3c43bbaff1f3"]
[description:"Brush Yer Teef" due:"1616122800" entry:"1616037929" mask:"++++++++++++++++X++++++X++X++++++++++-++++--+++-++-------------------------------------------------------------------------------" modified:"1627103165" project:"Cleaning" recur:"daily" status:"recurring" tags:"Daily" uuid:"82a63545-9aa5-4e00-823b-c326fc3cb544"]
[description:"Study Python" due:"1616122800" entry:"1616038036" mask:"++++++++++++X+X+X++++++X++X++X++++++X-++++--+++-++-------------------------------------------------------------------------------" modified:"1627103165" project:"Study" recur:"daily" status:"recurring" tags:"Daily" uuid:"55d0d923-053f-42c9-96ee-534b6ca4fa5e"]
[description:"Wash Clothes and Blanket" due:"1616382000" entry:"1616050583" mask:"+++++++------------" modified:"1627103165" project:"Cleaning" recur:"weekly" status:"recurring" tags:"Daily" uuid:"0872f620-183b-4235-a35d-873bc433dcdc"]
[description:"Go to the Gym" due:"1616122800" entry:"1616093190" mask:"+XX++++++++X++++X++++X+X++X++++++++++-+--+--+++----------------------------------------------------------------------------------" modified:"1627103165" project:"Work_Out" recur:"daily" status:"recurring" tags:"Daily" uuid:"2796c112-9406-4dbc-9ef0-2948defc7dd0"]
[annotation_1618873695:"I want to know how to build and use APIs pretty well" description:"Look into Python APIs" entry:"1618873664" modified:"1627103509" priority:"M" project:"Python.API" status:"pending" tags:"Personal" uuid:"89177ae4-ac13-4069-8402-17bc1f4d8346"]
[annotation_1619162903:"E.g. Make A doctor's appointment." annotation_1619163005:"Make sure to add it to my_day as well. Probably right above personal tasks" description:"Create a report for non-recurring random tasks you might have" entry:"1619162886" modified:"1627103518" priority:"M" project:"TaskWarrior" status:"pending" tags:"Personal" uuid:"c2d0e1b8-7fd9-41d5-a5c5-c6c78f086537"]
[annotation_1619163942:"See if they are useful for the Tracker project" description:"Python Decorators" entry:"1619163920" modified:"1619164029" project:"Python.Decorators" status:"pending" tags:"Personal" uuid:"444df070-c570-4326-938b-bec9c02dc31c"]
[description:"Brush Yer Teef" due:"1619319600" entry:"1619234753" imask:"37.000000" modified:"1619199639" parent:"82a63545-9aa5-4e00-823b-c326fc3cb544" project:"Cleaning" recur:"daily" status:"pending" tags:"Daily" uuid:"66368d3f-97b3-4f51-b740-be8c7a9e7b73"]
[description:"Study Python" due:"1619319600" entry:"1619234753" imask:"37.000000" modified:"1619160709" parent:"55d0d923-053f-42c9-96ee-534b6ca4fa5e" project:"Study" recur:"daily" status:"pending" tags:"Daily" uuid:"fdb984c2-8b13-42b2-8f74-71ca7246ad3a"]
[description:"Go to the Gym" due:"1619319600" entry:"1619234753" imask:"37.000000" modified:"1619498832" parent:"2796c112-9406-4dbc-9ef0-2948defc7dd0" project:"Work_Out" recur:"daily" status:"pending" tags:"Daily" uuid:"f0b7c237-fa38-4473-9d4e-2ff2cec3aba5"]
[description:"Go to the Gym" due:"1619492400" entry:"1619413822" imask:"39.000000" modified:"1619498829" parent:"2796c112-9406-4dbc-9ef0-2948defc7dd0" project:"Work_Out" recur:"daily" status:"pending" tags:"Daily" uuid:"b855a227-bec2-42e1-9901-9e3771698069"]
[description:"Go to the Gym" due:"1619578800" entry:"1619492519" imask:"40.000000" modified:"1619498832" parent:"2796c112-9406-4dbc-9ef0-2948defc7dd0" project:"Work_Out" recur:"daily" status:"pending" tags:"Daily" uuid:"faafac4e-8ef3-4bb9-9307-fe5f0f59ea90"]
[annotation_1619609421:"At the very least you could use it for pretty Errors" description:"Rich Library: A good library for adding color to the terminal." entry:"1619607620" modified:"1627103526" priority:"L" project:"Tracker.Color" status:"pending" tags:"Tracker" uuid:"8f7b12c0-46b1-4f4a-b152-437a8f4c744f"]
[description:"Typer Library: Basic Python Scripting. Potential Auto-Tab" entry:"1619609907" modified:"1619610128" project:"Tracker" status:"pending" tags:"Tracker" uuid:"b42e8864-1894-43d6-b77a-73fdba7e8bb7"]
[description:"Brush Yer Teef" due:"1619751600" entry:"1619666964" imask:"42.000000" modified:"1619606865" parent:"82a63545-9aa5-4e00-823b-c326fc3cb544" project:"Cleaning" recur:"daily" status:"pending" tags:"Daily" uuid:"5a2a50b9-51f9-4518-91f5-9bbca4e946fb"]
[description:"Study Python" due:"1619751600" entry:"1619666964" imask:"42.000000" modified:"1619606865" parent:"55d0d923-053f-42c9-96ee-534b6ca4fa5e" project:"Study" recur:"daily" status:"pending" tags:"Daily" uuid:"40814c59-07a3-42eb-bc56-9645f4d68803"]
[description:"Go to the Gym" due:"1619751600" entry:"1619666964" imask:"42.000000" modified:"1619606823" parent:"2796c112-9406-4dbc-9ef0-2948defc7dd0" project:"Work_Out" recur:"daily" status:"pending" tags:"Daily" uuid:"f7abc281-b6a2-47b0-856b-4da6840e90c2"]
